coordinates,Power generated,Power capacity,Remaining Capacity,KVlevels,color,generation name,number of buses,generation type,county,state
POINT (-121.7407 48.5478),55.600001,55.6,9.999999974752427e-07,"{345.0, 138.0}",blue,CONCRETE 1,2,hydro,Skagit,Washington
POINT (-122.4056 45.5847),0.0,0.0,0.0,"{345.0, 138.0}",yellow,CAMAS 3,6,solar,Clark,Washington
POINT (-118.0269 46.4211),212.510002,212.51,1.9999999949504854e-06,"{345.0, 138.0, 13.8}",green,DAYTON 2,3,wind,Columbia,Washington
POINT (-121.2086 48.6981),134.82000299999999,134.82,2.999999992425728e-06,"{345.0, 138.0, 18.0, 13.8}",blue,ROCKPORT 1,6,hydro,Whatcom,Washington
POINT (-122.4331 48.4481),14.320001,14.32,9.999999992515995e-07,"{138.0, 18.0}",yellow,MOUNT VERNON 4,3,solar,Skagit,Washington
POINT (-117.4206 47.6536),22.830002,22.83,2.0000000020559128e-06,{138.0},blue,SPOKANE 20,3,hydro,Spokane,Washington
POINT (-122.9184 46.1039),41.320003,41.32,2.9999999995311555e-06,"{138.0, 18.0, 13.8}",yellow,LONGVIEW 3,3,solar,Cowlitz,Washington
POINT (-122.486 48.746),130.520004,130.51999999999998,4.00000001832268e-06,"{345.0, 138.0}",yellow,BELLINGHAM 7,5,solar,Whatcom,Washington
POINT (-117.3644 47.1558),58.200001,58.2,9.999999974752427e-07,"{345.0, 138.0, 20.0}",green,ROSALIA,5,wind,Whitman,Washington
POINT (-122.56 48.4708),125.10000000000001,125.10000000000001,0.0,"{138.0, 13.8, 18.0, 22.0, 345.0}",orange,ANACORTES 2,6,ng,Skagit,Washington
POINT (-120.5212 45.7818),82.340001,82.34,9.999999974752427e-07,{138.0},green,GOLDENDALE 3,1,wind,Klickitat,Washington
POINT (-121.6878 47.4446),22.220002,22.22,2.0000000020559128e-06,"{1.0, 138.0, 13.8}",blue,KIRKLAND 5,4,hydro,King,Washington
POINT (-121.1317 48.7139),107.970003,107.97000000000001,2.999999992425728e-06,"{138.0, 13.8}",blue,ROCKPORT 2,3,hydro,Whatcom,Washington
POINT (-119.3339 46.4711),1200.000012,1200.0,1.1999999969702912e-05,"{345.0, 138.0, 13.8, 765.0}",red,RICHLAND 4,5,nuclear,Benton,Washington
POINT (-122.3355 45.9628),56.320001,56.32,9.999999974752427e-07,"{345.0, 138.0, 22.0, 1.0}",blue,AMBOY,4,hydro,Clark,Washington
POINT (-118.1111 48.6203),50.700001,50.7,9.999999974752427e-07,"{345.0, 138.0}",yellow,KETTLE FALLS 2,3,solar,Stevens,Washington
POINT (-120.2355 45.9215),0.0,0.0,0.0,"{138.0, 13.8}",green,BICKLETON 1,4,wind,Klickitat,Washington
POINT (-117.4294 46.6595),615.120006,615.12,5.999999984851456e-06,"{1.0, 138.0, 13.8, 18.0, 20.0, 22.0, 24.0, 345.0, 765.0}",blue,POMEROY 1,12,hydro,Whitman,Washington
POINT (-122.365 47.0797),177.8,177.8,0.0,{138.0},orange,TACOMA 20,2,ng,Pierce,Washington
POINT (-122.4283 47.2661),45.580001,45.58,1.00000000458067e-06,"{345.0, 138.0, 18.0, 1.0}",yellow,TACOMA 21,4,solar,Pierce,Washington
POINT (-122.3196 46.8328),38.660004,38.66,4.0000000041118255e-06,"{345.0, 138.0}",blue,LAKEBAY 2,2,hydro,Pierce,Washington
POINT (-118.8798 46.2498),529.130006,529.13,5.999999984851456e-06,"{138.0, 13.8, 18.0, 24.0, 345.0, 765.0}",blue,BURBANK 2,12,hydro,Walla Walla,Washington
POINT (-122.8598 46.7559),312.19,729.9,417.71,"{345.0, 138.0, 13.8, 765.0}",gray,CENTRALIA 2,6,coal,Lewis,Washington
POINT (-122.4247 46.5347),214.570002,214.57,1.9999999949504854e-06,"{345.0, 138.0, 18.0, 13.8}",blue,SILVER CREEK 2,4,hydro,Lewis,Washington
POINT (-121.7819 47.4193),22.510002,22.509999999999998,2.0000000020559128e-06,"{138.0, 18.0}",blue,NORTH BEND 2,2,hydro,King,Washington
POINT (-117.5372 47.7697),10.000001,10.0,9.999999992515995e-07,"{138.0, 22.0}",blue,NINE MILE FALLS 2,2,hydro,Spokane,Washington
POINT (-117.3705 47.7351),61.8,61.8,0.0,"{345.0, 138.0, 13.8}",orange,SPOKANE 21,3,ng,Spokane,Washington
POINT (-120.0133 47.8347),21.910001,21.91,1.0000000010279564e-06,{138.0},blue,WENATCHEE 5,1,hydro,Chelan,Washington
POINT (-118.0273 46.5838),370.940004,370.94,3.999999989900971e-06,"{1.0, 138.0, 13.8, 18.0, 22.0, 345.0, 765.0}",blue,DAYTON 3,13,hydro,Columbia,Washington
POINT (-122.2733 48.9905),87.8,87.8,0.0,"{345.0, 138.0, 18.0, 13.8}",orange,SUMAS,5,ng,Whatcom,Washington
POINT (-122.4358 48.4558),376.0,376.0,0.0,"{138.0, 13.2, 13.8, 18.0, 345.0, 765.0}",orange,BURLINGTON 2,7,ng,Skagit,Washington
POINT (-119.2917 47.5025),36.210001,36.21,9.999999974752427e-07,"{345.0, 138.0, 13.8}",blue,COULEE CITY 1,4,hydro,Grant,Washington
POINT (-120.3039 45.9192),37.130001,37.13,9.999999974752427e-07,"{138.0, 13.8}",green,BICKLETON 2,2,wind,Klickitat,Washington
POINT (-119.9703 46.8731),338.560004,338.56,3.999999989900971e-06,"{138.0, 13.2, 13.8, 18.0, 24.0, 345.0, 765.0}",blue,BEVERLY,11,hydro,Kittitas,Washington
POINT (-121.0679 48.7326),206.29000200000002,206.29000000000002,1.9999999949504854e-06,"{138.0, 13.8, 18.0, 22.0, 345.0, 765.0}",blue,ROCKPORT 3,7,hydro,Whatcom,Washington
POINT (-122.6861 48.8288),169.200001,169.2,9.999999974752427e-07,{138.0},orange,BLAINE 2,1,ng,Whatcom,Washington
POINT (-121.7833 47.6992),23.320002000000002,23.32,2.0000000020559128e-06,"{138.0, 18.0}",blue,NORTH BEND 3,4,hydro,King,Washington
POINT (-122.9131 46.6225),567.889,698.01,130.12099999999998,"{345.0, 138.0, 13.8}",orange,CHEHALIS 2,5,ng,Lewis,Washington
POINT (-120.7836 45.7442),50.000001,50.0,9.999999974752427e-07,{138.0},green,GOLDENDALE 4,1,wind,Klickitat,Washington
POINT (-122.2594 46.0594),72.000002,72.0,1.9999999949504854e-06,{138.0},blue,COUGAR 2,3,hydro,Cowlitz,Washington
POINT (-123.7739 46.9728),29.840003000000003,29.84,3.000000003083869e-06,"{138.0, 18.0, 13.8}",yellow,ABERDEEN 2,4,solar,Grays Harbor,Washington
POINT (-118.5397 46.5635),576.580005,576.58,4.9999999873762135e-06,"{138.0, 13.8, 18.0, 24.0, 345.0, 765.0}",blue,KAHLOTUS,9,hydro,Franklin,Washington
POINT (-121.8414 47.5445),0.0,0.0,0.0,"{138.0, 18.0}",blue,FALL CITY 2,3,hydro,King,Washington
POINT (-122.5544 45.9567),49.150002,49.15,2.0000000020559128e-06,"{345.0, 138.0, 13.8}",blue,ARIEL,4,hydro,Clark,Washington
POINT (-120.8339 45.7269),221.290002,221.29,1.9999999949504854e-06,"{345.0, 138.0, 20.0}",green,CENTERVILLE 1,4,wind,Klickitat,Washington
POINT (-117.8217 46.5242),0.0,0.0,0.0,"{1.0, 138.0, 13.8, 18.0, 345.0}",green,POMEROY 2,5,wind,Garfield,Washington
POINT (-121.5694 46.5958),25.400002,25.400000000000002,1.999999998503199e-06,{138.0},blue,PACKWOOD,2,hydro,Lewis,Washington
POINT (-117.5042 47.6263),0.0,0.0,0.0,"{138.0, 13.8}",orange,SPOKANE 22,2,ng,Spokane,Washington
POINT (-117.8361 47.8344),48.160003,48.16,3.000000006636583e-06,"{345.0, 138.0, 18.0}",blue,FORD 1,4,hydro,Lincoln,Washington
POINT (-119.0964 46.0958),95.900001,95.9,9.999999974752427e-07,"{345.0, 138.0, 13.8, 1.0}",green,KENNEWICK 6,5,wind,Benton,Washington
POINT (-120.2065 47.0363),189.610002,189.61,1.9999999949504854e-06,"{345.0, 138.0, 13.8, 22.0}",green,ELLENSBURG 4,4,wind,Kittitas,Washington
POINT (-120.2896 45.8877),199.000002,199.0,1.9999999949504854e-06,"{345.0, 138.0, 13.8}",green,BICKLETON 3,3,wind,Klickitat,Washington
POINT (-123.48 46.9692),650.009996,650.01,3.999999989900971e-06,"{138.0, 18.0, 20.0, 22.0, 345.0, 765.0}",orange,ELMA 2,6,ng,Grays Harbor,Washington
POINT (-117.4183 48.7809),20.620001,20.62,9.999999974752427e-07,"{138.0, 18.0, 13.8}",blue,IONE 1,5,hydro,Pend Oreille,Washington
POINT (-122.3102 46.8016),41.510002,41.510000000000005,1.9999999949504854e-06,"{138.0, 18.0}",blue,LAKEBAY 3,3,hydro,Thurston,Washington
POINT (-120.833 45.8114),284.300002,284.3,1.9999999949504854e-06,"{1.0, 138.0, 13.8, 20.0, 345.0, 765.0}",orange,GOLDENDALE 5,7,ng,Klickitat,Washington
POINT (-123.2252 47.4181),43.870003,43.870000000000005,2.999999992425728e-06,"{24.0, 138.0, 18.0}",blue,SHELTON 4,4,hydro,Mason,Washington
POINT (-118.9773 47.9575),3695.4400389999996,3695.44,3.899999956047395e-05,"{138.0, 13.8, 18.0, 20.0, 22.0, 345.0, 765.0}",blue,GRAND COULEE,16,hydro,Okanogan,Washington
POINT (-122.6867 48.8288),285.51,285.51,0.0,"{1.0, 138.0, 13.8, 13.2, 18.0, 24.0, 345.0}",orange,FERNDALE 2,8,ng,Whatcom,Washington
POINT (-122.9728 46.1236),22.560002,22.56,2.0000000020559128e-06,{138.0},yellow,LONGVIEW 4,2,solar,Cowlitz,Washington
POINT (-121.6907 48.649),47.450002000000005,47.449999999999996,2.00000000916134e-06,{138.0},blue,CONCRETE 2,1,hydro,Whatcom,Washington
POINT (-117.3478 48.9871),261.220002,261.22,1.9999999949504854e-06,"{138.0, 13.8, 18.0, 22.0, 345.0, 765.0}",blue,METALINE FALLS,9,hydro,Pend Oreille,Washington
POINT (-119.2992 47.6164),22.810001,22.81,1.0000000010279564e-06,{138.0},blue,COULEE CITY 2,1,hydro,Grant,Washington
POINT (-122.7256 45.6497),248.000002,248.0,1.9999999949504854e-06,"{345.0, 138.0, 13.8}",orange,VANCOUVER 18,3,ng,Clark,Washington
POINT (-117.8331 46.4211),96.250002,96.25,1.9999999949504854e-06,"{138.0, 18.0, 20.0}",green,DAYTON 4,3,wind,Columbia,Washington
POINT (-117.9167 47.8217),18.740002999999998,18.740000000000002,2.999999995978442e-06,{138.0},blue,FORD 2,2,hydro,Lincoln,Washington
POINT (-117.7772 46.3747),210.600002,210.6,1.9999999949504854e-06,"{1.0, 138.0, 13.8, 18.0, 345.0}",green,DAYTON 5,6,wind,Columbia,Washington
POINT (-119.1139 46.3069),11.400001,11.4,9.999999992515995e-07,{138.0},orange,PASCO 3,1,ng,Franklin,Washington
POINT (-118.917 46.06),130.660001,130.66,9.999999974752427e-07,"{345.0, 138.0, 13.8}",green,TOUCHET,4,wind,Walla Walla,Washington
POINT (-120.3419 45.8155),204.000002,204.0,1.9999999949504854e-06,"{345.0, 138.0, 13.8}",green,ROOSEVELT 2,3,wind,Klickitat,Washington
POINT (-122.9855 46.1388),319.000002,319.0,1.9999999949504854e-06,"{345.0, 138.0, 18.0, 13.8}",orange,LONGVIEW 5,4,ng,Cowlitz,Washington
POINT (-119.8653 47.9469),390.600004,390.6,3.999999989900971e-06,"{138.0, 13.8, 24.0, 345.0, 765.0}",blue,PATEROS,9,hydro,Chelan,Washington
POINT (-122.0414 44.286),102.380003,102.38,3.000000006636583e-06,"{345.0, 138.0, 13.8, 1.0}",blue,BLUE RIVER,5,hydro,Linn,Oregon
POINT (-120.125 45.7119),98.700001,98.7,9.999999974752427e-07,{138.0},green,ARLINGTON 3,1,wind,Gilliam,Oregon
POINT (-122.0703 42.0936),94.520003,94.52000000000001,2.999999992425728e-06,"{345.0, 138.0}",blue,KENO,3,hydro,Klamath,Oregon
POINT (-123.1719 46.1789),137.88,137.88,0.0,{138.0},orange,CLATSKANIE 2,2,ng,Columbia,Oregon
POINT (-118.8162 46.0128),86.500001,86.5,9.999999974752427e-07,"{345.0, 138.0, 13.8}",green,HELIX 1,3,wind,Walla Walla,Washington
POINT (-120.2098 45.6525),100.500001,100.5,9.999999974752427e-07,"{138.0, 18.0}",green,ARLINGTON 4,3,wind,Gilliam,Oregon
POINT (-119.2988 45.9402),697.2700050000001,697.27,5.000000101063051e-06,"{1.0, 138.0, 13.8, 18.0, 345.0, 765.0}",blue,UMATILLA 2,11,hydro,Benton,Washington
POINT (-117.8163 45.0852),0.0,0.0,0.0,"{345.0, 138.0, 20.0}",green,UNION 2,3,wind,Union,Oregon
POINT (-120.5042 45.5836),297.500002,297.5,1.9999999949504854e-06,"{24.0, 345.0, 138.0, 13.8}",green,WASCO 1,4,wind,Sherman,Oregon
POINT (-122.2511 44.7224),37.310001,37.31,9.999999974752427e-07,"{345.0, 138.0}",blue,LOWELL 1,4,hydro,Marion,Oregon
POINT (-122.9627 45.2879),43.900002,43.9,2.0000000020559128e-06,"{1.0, 138.0, 13.8}",yellow,NEWBERG 3,4,solar,Yamhill,Oregon
POINT (-120.6941 45.7164),1372.160013,1372.16,1.2999999853491317e-05,"{138.0, 13.8, 13.2, 18.0, 345.0, 765.0}",blue,THE DALLES 2,10,hydro,Klickitat,Washington
POINT (-119.3133 45.794),689.4000020000001,689.4000000000001,1.9999999949504854e-06,"{138.0, 13.8, 18.0, 345.0, 765.0}",orange,HERMISTON 3,6,ng,Umatilla,Oregon
POINT (-123.4066 46.154),29.350001,29.35,9.999999974752427e-07,{138.0},yellow,CLATSKANIE 3,1,solar,Clatsop,Oregon
POINT (-122.4238 43.7107),19.110002,19.11,2.0000000020559128e-06,{138.0},blue,LOWELL 2,1,hydro,Lane,Oregon
POINT (-120.2794 45.2766),44.140002,44.14,2.0000000020559128e-06,"{138.0, 13.8}",green,CONDON,2,wind,Gilliam,Oregon
POINT (-120.6034 45.6537),409.580004,409.58,3.999999989900971e-06,"{345.0, 138.0, 18.0, 13.8}",green,WASCO 2,6,wind,Sherman,Oregon
POINT (-121.8144 42.1727),58.8,58.8,0.0,{138.0},orange,KLAMATH FALLS 4,1,ng,Klamath,Oregon
POINT (-121.2773 44.6058),192.240002,192.24,1.9999999949504854e-06,"{138.0, 13.8, 18.0, 345.0, 765.0}",blue,MADRAS 2,6,hydro,Jefferson,Oregon
POINT (-120.5744 45.52),60.820001,60.82,9.999999974752427e-07,"{138.0, 18.0}",green,MORO,3,wind,Sherman,Oregon
POINT (-122.2439 44.1307),22.900002,22.9,2.0000000020559128e-06,"{1.0, 138.0, 13.8}",blue,LOWELL 3,5,hydro,Lane,Oregon
POINT (-119.37 45.8042),621.200002,621.2,1.9999999949504854e-06,"{345.0, 138.0, 18.0, 13.8}",orange,HERMISTON 4,6,ng,Umatilla,Oregon
POINT (-116.835 44.9716),80.510002,80.50999999999999,2.00000000916134e-06,"{345.0, 138.0, 18.0, 1.0}",blue,OXBOW 1,5,hydro,Baker,Oregon
POINT (-123.4156 43.0895),31.920005,31.92,4.9999999980343546e-06,"{345.0, 138.0}",yellow,DEXTER 2,2,solar,Douglas,Oregon
POINT (-119.6739 45.848),266.300001,266.3,9.999999974752427e-07,"{138.0, 13.8}",orange,BOARDMAN 2,4,ng,Morrow,Oregon
POINT (-121.8106 42.1739),334.340002,334.34,2.0000000517939043e-06,"{1.0, 138.0, 13.8, 18.0, 22.0, 345.0, 765.0}",orange,KLAMATH FALLS 5,8,ng,Klamath,Oregon
POINT (-122.9555 44.0569),37.290003,37.290000000000006,2.999999992425728e-06,"{1.0, 138.0, 13.8, 13.2, 345.0}",yellow,SPRINGFIELD 5,7,solar,Lane,Oregon
POINT (-120.3183 45.6758),69.480001,69.48,9.999999974752427e-07,"{138.0, 20.0}",green,ARLINGTON 5,2,wind,Gilliam,Oregon
POINT (-123.9319 44.6119),18.650001,18.65,1.0000000010279564e-06,"{345.0, 138.0}",yellow,TOLEDO 2,2,solar,Lincoln,Oregon
POINT (-118.66 45.9362),18.440001,18.44,9.999999974752427e-07,{138.0},green,HELIX 2,1,wind,Umatilla,Oregon
POINT (-119.9914 45.6533),72.000001,72.0,9.999999974752427e-07,{138.0},green,IONE 2,2,wind,Morrow,Oregon
POINT (-122.0699 45.122),55.590002999999996,55.589999999999996,2.9999999995311555e-06,"{138.0, 13.8}",blue,ESTACADA 2,4,hydro,Clackamas,Oregon
POINT (-122.7531 43.9153),90.500006,90.5,5.999999999062311e-06,"{138.0, 13.8, 18.0, 24.0, 345.0, 765.0}",blue,LOWELL 4,9,hydro,Lane,Oregon
POINT (-120.2008 45.7167),103.000001,103.0,9.999999974752427e-07,"{138.0, 13.8}",green,ARLINGTON 6,3,wind,Gilliam,Oregon
POINT (-122.28 45.2433),14.620001,14.62,1.0000000010279564e-06,"{345.0, 138.0}",blue,ESTACADA 3,2,hydro,Clackamas,Oregon
POINT (-116.7008 45.2439),203.70000199999998,203.7,1.9999999949504854e-06,"{138.0, 13.2, 18.0, 345.0, 765.0}",blue,OXBOW 2,6,hydro,Wallowa,Oregon
POINT (-122.4728 43.2939),23.860002,23.86,2.0000000020559128e-06,{138.0},blue,IDLEYLD PARK 1,1,hydro,Douglas,Oregon
POINT (-122.4098 43.2669),12.170001,12.17,9.999999992515995e-07,"{1.0, 138.0, 13.8}",blue,IDLEYLD PARK 2,4,hydro,Douglas,Oregon
POINT (-118.5914 45.8992),65.410001,65.41,9.999999974752427e-07,"{138.0, 13.8}",green,ATHENA,6,wind,Umatilla,Oregon
POINT (-122.514 42.7312),21.260002,21.259999999999998,2.0000000020559128e-06,"{138.0, 13.8}",blue,PROSPECT,3,hydro,Jackson,Oregon
POINT (-119.4181 45.7286),7.520001,7.52,1.000000000139778e-06,{138.0},green,ECHO,2,wind,Umatilla,Oregon
POINT (-120.2598 45.651),171.490002,171.49,1.9999999949504854e-06,"{345.0, 138.0, 13.8}",green,ARLINGTON 7,4,wind,Gilliam,Oregon
POINT (-121.1346 45.614),779.600007,779.5999999999999,7.000000096013537e-06,"{1.0, 138.0, 13.8, 22.0, 24.0, 345.0, 765.0}",blue,THE DALLES 3,12,hydro,Klickitat,Washington
POINT (-122.85 42.4361),20.330002,20.33,2.0000000020559128e-06,{138.0},yellow,WHITE CITY 2,1,solar,Jackson,Oregon
POINT (-122.2494 43.3558),32.000001,32.0,9.999999974752427e-07,{138.0},blue,IDLEYLD PARK 3,1,hydro,Douglas,Oregon
POINT (-120.48 45.51),94.340001,94.34,9.999999974752427e-07,{138.0},green,WASCO 3,3,wind,Sherman,Oregon
POINT (-118.591 45.943),84.100002,84.1,2.00000000916134e-06,"{1.0, 138.0, 13.8, 22.0, 345.0}",green,MILTON FREEWATER 2,8,wind,Umatilla,Oregon
POINT (-123.1739 46.1724),537.0,537.0,0.0,"{345.0, 138.0, 765.0}",orange,CLATSKANIE 4,5,ng,Columbia,Oregon
POINT (-122.5494 44.4494),86.250004,86.25,4.0000000041118255e-06,"{345.0, 138.0, 13.8, 1.0}",blue,LOWELL 5,5,hydro,Linn,Oregon
POINT (-122.6772 42.6717),43.760002,43.760000000000005,1.9999999949504854e-06,{138.0},blue,TRAIL,1,hydro,Jackson,Oregon
POINT (-122.4475 43.2727),31.220003,31.22,2.9999999995311555e-06,"{345.0, 138.0, 13.8, 13.2}",blue,IDLEYLD PARK 4,4,hydro,Douglas,Oregon
POINT (-120.593 45.571),71.640002,71.64,1.9999999949504854e-06,"{138.0, 18.0, 13.8}",green,WASCO 4,3,wind,Sherman,Oregon
POINT (-121.2314 44.6944),57.750001999999995,57.75,1.9999999949504854e-06,{138.0},blue,MADRAS 3,1,hydro,Jefferson,Oregon
POINT (-122.0832 45.4817),13.790001,13.79,1.0000000010279564e-06,"{138.0, 22.0}",blue,SANDY 2,2,hydro,Multnomah,Oregon
POINT (-121.941 45.6441),513.7700050000001,513.77,5.000000101063051e-06,"{138.0, 13.8, 18.0, 24.0, 345.0, 765.0}",blue,CASCADE LOCKS,9,hydro,Multnomah,Oregon
POINT (-119.674 45.848),143.5,143.5,0.0,"{345.0, 138.0, 18.0, 13.8}",orange,BOARDMAN 3,4,ng,Morrow,Oregon
POINT (-122.4025 43.2806),38.500001,38.5,9.999999974752427e-07,"{138.0, 13.8}",blue,IDLEYLD PARK 5,2,hydro,Douglas,Oregon
POINT (-120.1739 45.2881),459.240005,459.24,4.9999999873762135e-06,"{138.0, 13.8, 18.0, 22.0, 345.0, 765.0}",green,ARLINGTON 8,6,wind,Gilliam,Oregon
POINT (-117.4681 44.0231),33.720003999999996,33.72,3.999999997006398e-06,{138.0},yellow,VALE 2,2,solar,Malheur,Oregon
POINT (-123.172 46.1789),483.0,483.0,0.0,"{1.0, 138.0, 13.8, 18.0, 345.0}",orange,CLATSKANIE 5,6,ng,Columbia,Oregon
POINT (-119.8088 45.6932),642.200004,642.2,3.999999989900971e-06,"{345.0, 138.0, 13.8, 765.0}",gray,BOARDMAN 4,5,coal,Morrow,Oregon
POINT (-120.3245 38.9827),72.700002,72.7,1.9999999949504854e-06,"{345.0, 138.0, 13.8, 1.0}",blue,POLLOCK PINES 2,5,hydro,El Dorado,California
POINT (-121.3933 38.6527),77.0,77.0,0.0,"{345.0, 138.0}",orange,MCCLELLAN,3,ng,Sacramento,California
POINT (-121.8036 40.8981),42.410001,42.41,1.00000000458067e-06,"{345.0, 138.0, 20.0}",green,BURNEY 1,3,wind,Shasta,California
POINT (-121.2494 40.0074),85.300001,85.3,9.999999974752427e-07,"{138.0, 13.8}",blue,BELDEN,2,hydro,Plumas,California
POINT (-122.27 39.3661),741.010002,741.01,1.9999999949504854e-06,"{138.0, 13.8, 18.0, 22.0, 24.0, 345.0, 765.0}",orange,MAXWELL,8,ng,Colusa,California
POINT (-122.7195 38.752),0.0,0.0,0.0,{138.0},yellow,MIDDLETOWN 1,1,solar,Sonoma,California
POINT (-122.7677 38.8348),63.540003,63.54,2.9999999995311555e-06,"{138.0, 13.8}",yellow,COBB,3,solar,Lake,California
POINT (-120.7874 38.7653),124.750002,124.75,1.9999999949504854e-06,"{1.0, 138.0, 13.8, 13.2, 22.0, 345.0, 765.0}",blue,CAMINO,8,hydro,El Dorado,California
POINT (-121.9752 40.9923),124.73000199999998,124.72999999999999,1.9999999949504854e-06,"{138.0, 13.2, 20.0, 345.0, 765.0}",blue,MONTGOMERY CREEK 1,7,hydro,Shasta,California
POINT (-121.7481 40.9974),33.870002,33.87,2.0000000020559128e-06,{138.0},blue,BURNEY 2,1,hydro,Shasta,California
POINT (-121.3452 39.9052),125.300002,125.3,2.00000000916134e-06,"{1.0, 138.0, 13.8, 18.0, 345.0}",blue,STRAWBERRY VALLEY 1,6,hydro,Plumas,California
POINT (-121.4097 39.8259),68.800003,68.80000000000001,2.999999992425728e-06,{138.0},blue,STRAWBERRY VALLEY 2,1,hydro,Butte,California
POINT (-121.6961 39.0529),66.0,66.0,0.0,"{138.0, 18.0}",orange,YUBA CITY 5,4,ng,Sutter,California
POINT (-120.5371 38.8288),159.22000400000002,159.22,4.00000001832268e-06,"{345.0, 138.0, 13.8, 1.0}",blue,POLLOCK PINES 3,4,hydro,El Dorado,California
POINT (-121.3811 38.7928),164.010001,164.01,9.999999974752427e-07,"{345.0, 138.0, 13.8, 1.0}",orange,ROSEVILLE 7,4,ng,Placer,California
POINT (-121.0985 38.8899),23.220002,23.22,2.0000000020559128e-06,"{138.0, 20.0, 13.8}",blue,AUBURN 9,4,hydro,Placer,California
POINT (-120.4443 38.8643),32.690001,32.69,1.00000000458067e-06,{138.0},blue,POLLOCK PINES 4,1,hydro,El Dorado,California
POINT (-122.2792 40.4283),48.140003,48.14,2.9999999995311555e-06,"{138.0, 13.8}",yellow,ANDERSON 2,3,solar,Shasta,California
POINT (-122.7626 40.7973),64.430001,64.43,9.999999974752427e-07,"{345.0, 138.0}",blue,REDDING 7,2,hydro,Trinity,California
POINT (-121.8494 40.9864),79.870002,79.87,1.9999999949504854e-06,{138.0},blue,BIG BEND 1,2,hydro,Shasta,California
POINT (-121.4624 38.4457),125.5,125.5,0.0,"{345.0, 138.0}",orange,ELK GROVE 7,2,ng,Sacramento,California
POINT (-121.3277 39.9106),72.600003,72.6,3.000000006636583e-06,{138.0},blue,STRAWBERRY VALLEY 3,1,hydro,Plumas,California
POINT (-120.2648 40.3683),0.0,0.0,0.0,"{138.0, 18.0}",yellow,WENDEL,3,solar,Lassen,California
POINT (-121.85 38.12),0.0,0.0,0.0,"{345.0, 138.0, 13.8}",green,RIO VISTA 2,4,wind,Solano,California
POINT (-121.9908 40.8475),113.24000600000001,113.24000000000001,5.999999999062311e-06,"{138.0, 13.8, 18.0, 20.0, 345.0}",blue,MONTGOMERY CREEK 2,7,hydro,Shasta,California
POINT (-121.2704 39.239),50.620003,50.62,2.9999999995311555e-06,{138.0},blue,BROWNS VALLEY,2,hydro,Yuba,California
POINT (-121.1494 40.086),58.950001,58.95,9.999999974752427e-07,"{345.0, 138.0, 18.0, 13.8}",blue,MEADOW VALLEY 1,5,hydro,Plumas,California
POINT (-121.4698 39.7229),115.840002,115.84,1.9999999949504854e-06,"{345.0, 138.0}",blue,STRAWBERRY VALLEY 4,3,hydro,Butte,California
