coordinates,bus_name,kilovolt levels,number of buses,vm,county,state
POINT (-122.6578 47.7074),SILVERDALE 1,"{24.0, 345.0, 138.0, 1.0}",4,1.064397,Kitsap,Washington
POINT (-122.7149 47.7601),SILVERDALE 2,{138.0},2,1.062707,Kitsap,Washington
POINT (-122.7719 48.9),BLAINE 1,{138.0},3,1.050008,Whatcom,Washington
POINT (-122.6824 47.9481),PORT LUDLOW,{138.0},1,1.059633,Jefferson,Washington
POINT (-122.6138 47.5032),PORT ORCHARD 1,{138.0},2,1.071178,Kitsap,Washington
POINT (-122.6216 47.4023),PORT ORCHARD 2,{138.0},1,1.06499,Pierce,Washington
POINT (-122.6865 45.8363),RIDGEFIELD,{138.0},1,1.033615,Clark,Washington
POINT (-122.6517 45.7159),VANCOUVER 2,{138.0},1,1.03468,Clark,Washington
POINT (-122.7746 45.6572),VANCOUVER 3,{138.0},1,1.031903,Multnomah,Oregon
POINT (-122.6704 47.3081),STEILACOOM,{138.0},3,1.065233,Pierce,Washington
POINT (-122.5679 46.0356),WOODLAND 1,{138.0},1,1.034681,Cowlitz,Washington
POINT (-122.665 47.1074),DUPONT,{138.0},2,1.047749,Pierce,Washington
POINT (-122.6584 45.5909),VANCOUVER 4,{138.0},3,1.044267,Multnomah,Oregon
POINT (-122.6151 45.6377),VANCOUVER 5,{138.0},3,1.039016,Clark,Washington
POINT (-122.6924 48.5919),ANACORTES 1,{138.0},1,1.049304,Skagit,Washington
POINT (-122.5807 48.1206),COUPEVILLE,{138.0},3,1.06826,Island,Washington
POINT (-122.6511 46.6517),ONALASKA,{138.0},2,1.048764,Lewis,Washington
POINT (-122.6486 46.8176),RAINIER 1,{138.0},1,1.050161,Thurston,Washington
POINT (-122.703 47.7207),BREMERTON 3,{138.0},2,1.068015,Kitsap,Washington
POINT (-122.6417 47.5662),BREMERTON 4,{138.0},1,1.067085,Kitsap,Washington
POINT (-122.6297 48.2781),OAK HARBOR 1,{138.0},1,1.078192,Island,Washington
POINT (-122.5352 48.2395),OAK HARBOR 2,"{345.0, 138.0, 13.8, 1.0}",4,1.078161,Island,Washington
POINT (-122.6841 47.7984),POULSBO 1,{138.0},2,1.060475,Kitsap,Washington
POINT (-122.6578 47.7539),POULSBO 2,{138.0},4,1.060884,Kitsap,Washington
POINT (-122.6219 47.5231),BREMERTON 5,"{345.0, 138.0}",2,1.066722,Kitsap,Washington
POINT (-122.6273 45.5753),VANCOUVER 6,{138.0},1,1.045405,Multnomah,Oregon
POINT (-122.5543 45.6695),VANCOUVER 7,{138.0},1,1.031945,Clark,Washington
POINT (-122.606 45.638),VANCOUVER 8,{138.0},2,1.039305,Clark,Washington
POINT (-122.7192 47.2477),GIG HARBOR 2,{138.0},2,1.064553,Pierce,Washington
POINT (-122.67 48.8946),FERNDALE 1,{138.0},2,1.049204,Whatcom,Washington
POINT (-122.6659 45.8584),LA CENTER,{138.0},1,1.033982,Clark,Washington
POINT (-122.6453 47.4467),GIG HARBOR 3,{138.0},1,1.065376,Kitsap,Washington
POINT (-122.5646 47.1496),TACOMA 1,{138.0},1,1.096105,Pierce,Washington
POINT (-122.6684 47.5868),PORT ORCHARD 3,{138.0},2,1.062549,Kitsap,Washington
POINT (-122.6199 47.6145),PORT ORCHARD 4,{138.0},3,1.060371,Kitsap,Washington
POINT (-122.5518 45.7462),VANCOUVER 9,{138.0},1,1.02984,Clark,Washington
POINT (-122.584 45.6971),VANCOUVER 10,{138.0},2,1.030639,Clark,Washington
POINT (-122.6399 45.6566),VANCOUVER 11,{138.0},1,1.036348,Clark,Washington
POINT (-122.665 47.498),OLALLA,"{1.0, 138.0, 18.0}",4,1.063939,Kitsap,Washington
POINT (-122.5961 47.1162),UNIVERSITY PLACE,{138.0},1,1.049663,Pierce,Washington
POINT (-122.575 47.1492),LAKEWOOD 1,{138.0},1,1.094673,Pierce,Washington
POINT (-122.6066 47.0621),LAKEWOOD 2,{138.0},2,1.048285,Pierce,Washington
POINT (-122.5297 47.2402),TACOMA 2,{138.0},2,1.073711,Pierce,Washington
POINT (-122.5599 47.2904),TACOMA 3,{138.0},1,1.066471,Pierce,Washington
POINT (-122.4932 47.6283),BAINBRIDGE ISLAND,{138.0},1,1.058332,Kitsap,Washington
POINT (-122.5365 47.8029),KINGSTON,{138.0},3,1.066789,Kitsap,Washington
POINT (-122.5844 47.0922),ROY 1,{138.0},1,1.050453,Pierce,Washington
POINT (-122.4637 47.3789),TACOMA 4,{138.0},2,1.055279,King,Washington
POINT (-122.6041 45.5753),VANCOUVER 12,{138.0},1,1.048725,Multnomah,Oregon
POINT (-122.5396 45.6205),VANCOUVER 13,{138.0},1,1.043569,Clark,Washington
POINT (-122.4859 47.0746),LAKEWOOD 3,{138.0},2,1.054215,Pierce,Washington
POINT (-122.4187 47.2812),TACOMA 5,{138.0},1,1.055989,Pierce,Washington
POINT (-122.4243 45.763),BATTLE GROUND 1,{138.0},3,1.032844,Clark,Washington
POINT (-122.5291 45.8824),BATTLE GROUND 2,{138.0},2,1.032702,Clark,Washington
POINT (-122.5665 45.575),VANCOUVER 14,{138.0},1,1.049826,Multnomah,Oregon
POINT (-122.574 45.6766),VANCOUVER 15,{138.0},1,1.033887,Clark,Washington
POINT (-122.5436 48.8277),BELLINGHAM 1,{138.0},1,1.048669,Whatcom,Washington
POINT (-122.6094 48.7084),BELLINGHAM 2,{138.0},3,1.052629,Whatcom,Washington
POINT (-122.4134 47.241),LAKEWOOD 4,{138.0},1,1.058425,Pierce,Washington
POINT (-122.5774 47.2147),LAKEWOOD 5,{138.0},2,1.076298,Pierce,Washington
POINT (-122.6076 48.209),CAMANO ISLAND,{138.0},2,1.072289,Island,Washington
POINT (-122.451 46.8447),YELM,{138.0},2,1.047302,Thurston,Washington
POINT (-122.5137 45.7632),VANCOUVER 16,{138.0},2,1.030549,Clark,Washington
POINT (-122.5664 45.7218),VANCOUVER 17,"{24.0, 345.0, 138.0, 1.0}",4,1.026928,Clark,Washington
POINT (-122.5568 47.1245),TACOMA 6,"{345.0, 138.0}",3,1.079633,Pierce,Washington
POINT (-122.4801 47.4255),VASHON,{138.0},1,1.057452,King,Washington
POINT (-122.4406 47.2126),TACOMA 7,{138.0},1,1.059147,Pierce,Washington
POINT (-122.4655 49.0235),LYNDEN,{138.0},1,1.056265,,
POINT (-122.3713 45.6699),BRUSH PRAIRIE,{138.0},1,1.038521,Clark,Washington
POINT (-122.5068 48.012),LANGLEY,{138.0},2,1.067575,Island,Washington
POINT (-122.3545 47.2028),TACOMA 8,{138.0},2,1.054328,Pierce,Washington
POINT (-122.4906 47.2014),TACOMA 9,{138.0},1,1.062485,Pierce,Washington
POINT (-122.5178 47.3067),TACOMA 10,{138.0},1,1.065205,Pierce,Washington
POINT (-122.422 47.1904),TACOMA 11,{138.0},1,1.052778,Pierce,Washington
POINT (-122.452 48.8083),BELLINGHAM 3,{138.0},1,1.049115,Whatcom,Washington
POINT (-122.4358 48.759),BELLINGHAM 4,{138.0},2,1.051955,Whatcom,Washington
POINT (-122.3709 46.4722),MOSSYROCK,{138.0},2,1.049106,Lewis,Washington
POINT (-122.474 48.6497),BELLINGHAM 5,{138.0},1,1.061021,Whatcom,Washington
POINT (-122.4788 48.7025),BELLINGHAM 6,{138.0},2,1.057654,Whatcom,Washington
POINT (-122.5463 47.9174),CLINTON 1,{138.0},1,1.075453,Kitsap,Washington
POINT (-122.4954 47.2202),TACOMA 12,{138.0},2,1.067192,Pierce,Washington
POINT (-122.3305 47.1365),TACOMA 13,{138.0},1,1.062275,Pierce,Washington
POINT (-122.3539 48.6364),BOW,{138.0},2,1.058548,Skagit,Washington
POINT (-122.4286 47.1045),TACOMA 14,{138.0},2,1.058979,Pierce,Washington
POINT (-122.3378 47.1903),TACOMA 15,{138.0},1,1.053305,Pierce,Washington
POINT (-122.5045 47.6876),SEATTLE 1,{138.0},1,1.067033,Kitsap,Washington
POINT (-122.3262 47.6146),SEATTLE 2,{138.0},1,1.077611,King,Washington
POINT (-122.3274 47.5031),SEATTLE 3,{138.0},1,1.076489,King,Washington
POINT (-122.3977 47.104),SPANAWAY 1,{138.0},1,1.066295,Pierce,Washington
POINT (-122.4126 47.0282),SPANAWAY 2,{138.0},1,1.065528,Pierce,Washington
POINT (-122.3114 47.3025),TACOMA 16,{138.0},1,1.05144,King,Washington
POINT (-122.3092 47.6998),SEATTLE 4,{138.0},2,1.072065,King,Washington
POINT (-122.4907 47.7826),SEATTLE 5,{138.0},2,1.06866,Kitsap,Washington
POINT (-122.3288 45.6124),CAMAS 1,{138.0},1,1.037737,Clark,Washington
POINT (-122.3438 45.644),CAMAS 2,{138.0},1,1.037565,Clark,Washington
POINT (-122.32 47.5435),SEATTLE 6,{138.0},2,1.079085,King,Washington
POINT (-122.2821 47.6768),SEATTLE 7,{138.0},1,1.080633,King,Washington
POINT (-122.3847 47.6954),SEATTLE 8,{138.0},2,1.076798,King,Washington
POINT (-122.4006 48.3831),MOUNT VERNON 1,{138.0},1,1.090494,Skagit,Washington
POINT (-122.4014 48.3917),MOUNT VERNON 2,{138.0},2,1.091367,Skagit,Washington
POINT (-122.3085 47.2016),TACOMA 17,{138.0},1,1.052386,Pierce,Washington
POINT (-122.5139 47.8798),EDMONDS 1,{138.0},1,1.068467,Kitsap,Washington
POINT (-122.3365 47.7031),SEATTLE 9,{138.0},1,1.067545,King,Washington
POINT (-122.4149 47.2992),FEDERAL WAY 1,{138.0},1,1.054831,Pierce,Washington
POINT (-122.4261 47.2213),FEDERAL WAY 2,{138.0},1,1.05854,Pierce,Washington
POINT (-122.3284 47.4004),SEATTLE 10,{138.0},2,1.058845,King,Washington
POINT (-122.3408 47.4459),SEATTLE 11,{138.0},2,1.059839,King,Washington
POINT (-122.3754 47.2861),TACOMA 18,{138.0},3,1.055751,Pierce,Washington
POINT (-122.3251 47.3627),SEATTLE 12,{138.0},1,1.05531,King,Washington
POINT (-122.2723 47.6889),SEATTLE 13,{138.0},1,1.079166,King,Washington
POINT (-122.4151 47.6404),SEATTLE 14,{138.0},2,1.063824,King,Washington
POINT (-122.4164 48.4514),BURLINGTON 1,{138.0},1,1.096109,Skagit,Washington
POINT (-122.3366 47.6603),SEATTLE 15,{138.0},3,1.072662,King,Washington
POINT (-122.3109 45.7986),YACOLT,{138.0},1,1.019606,Clark,Washington
POINT (-122.313 47.8251),SEATTLE 16,{138.0},2,1.063349,Snohomish,Washington
POINT (-122.3755 47.72),SEATTLE 17,{138.0},2,1.075525,King,Washington
POINT (-122.3985 47.6366),SEATTLE 18,{138.0},1,1.062349,King,Washington
POINT (-122.3305 47.7292),SEATTLE 19,{138.0},1,1.062886,King,Washington
POINT (-122.2413 47.665),SEATTLE 20,{138.0},1,1.075469,King,Washington
POINT (-122.246 47.8822),EDMONDS 2,"{345.0, 138.0}",2,1.062738,Snohomish,Washington
POINT (-122.3134 47.9219),EDMONDS 3,{138.0},1,1.059953,Snohomish,Washington
POINT (-122.3142 48.906),EVERSON,{138.0},5,1.055123,Whatcom,Washington
POINT (-122.3198 47.5328),SEATTLE 21,{138.0},2,1.079175,King,Washington
POINT (-122.2294 47.4956),SEATTLE 22,{138.0},1,1.061789,King,Washington
POINT (-122.3443 47.1462),PUYALLUP 1,{138.0},1,1.064092,Pierce,Washington
POINT (-122.268 47.2703),PUYALLUP 2,{138.0},2,1.057106,King,Washington
POINT (-122.2238 47.0533),PUYALLUP 3,{138.0},1,1.056326,Pierce,Washington
POINT (-122.3991 47.1606),PUYALLUP 4,{138.0},1,1.05555,Pierce,Washington
POINT (-122.3468 47.713),SEATTLE 23,{138.0},2,1.065116,King,Washington
POINT (-122.271 47.3951),FEDERAL WAY 3,{138.0},1,1.051894,King,Washington
POINT (-122.3432 47.2423),FEDERAL WAY 4,{138.0},2,1.055429,Pierce,Washington
POINT (-122.263 47.3349),SEATTLE 24,{138.0},2,1.055401,King,Washington
POINT (-122.3407 47.313),SEATTLE 25,{138.0},2,1.050977,King,Washington
POINT (-122.317 48.2045),STANWOOD,{138.0},2,1.069496,Snohomish,Washington
POINT (-122.2359 47.8313),MOUNTLAKE TERRACE,{138.0},4,1.069674,Snohomish,Washington
POINT (-122.2961 47.5936),SEATTLE 26,{138.0},1,1.081605,King,Washington
POINT (-122.2226 47.8987),MUKILTEO,{138.0},2,1.065845,Snohomish,Washington
POINT (-122.2958 47.6909),SEATTLE 27,{138.0},1,1.074125,King,Washington
POINT (-122.3162 47.7631),SEATTLE 28,{138.0},1,1.071977,King,Washington
POINT (-122.3494 47.421),SEATTLE 29,{138.0},3,1.056515,King,Washington
POINT (-122.2984 47.4298),SEATTLE 30,{138.0},1,1.067004,King,Washington
POINT (-122.307 47.7113),SEATTLE 31,{138.0},1,1.06915,King,Washington
POINT (-122.2635 47.6398),SEATTLE 32,{138.0},2,1.087065,King,Washington
POINT (-122.2683 47.7043),SEATTLE 33,{138.0},1,1.077405,King,Washington
POINT (-122.3395 47.6408),SEATTLE 34,{138.0},2,1.074566,King,Washington
POINT (-122.3661 47.6708),SEATTLE 35,{138.0},1,1.069619,King,Washington
POINT (-122.2856 47.6468),SEATTLE 36,{138.0},1,1.083152,King,Washington
POINT (-122.3372 47.6732),SEATTLE 37,{138.0},1,1.072223,King,Washington
POINT (-122.3768 47.9233),LYNNWOOD 1,{138.0},2,1.059247,Island,Washington
POINT (-122.3213 47.815),LYNNWOOD 2,{138.0},1,1.064891,Snohomish,Washington
POINT (-122.2187 47.653),SEATTLE 38,{138.0},3,1.074057,King,Washington
POINT (-122.2632 47.6345),SEATTLE 39,"{345.0, 138.0}",3,1.061662,King,Washington
POINT (-122.3225 47.7292),SEATTLE 40,"{345.0, 138.0, 13.8, 1.0}",5,1.060841,King,Washington
POINT (-122.1978 47.625),SEATTLE 41,{138.0},1,1.074529,King,Washington
POINT (-122.3666 47.8153),LYNNWOOD 3,{138.0},1,1.061665,Snohomish,Washington
POINT (-122.3364 47.8516),LYNNWOOD 4,{138.0},3,1.063153,Snohomish,Washington
POINT (-122.1843 47.0349),GRAHAM,{138.0},3,1.051544,Pierce,Washington
POINT (-122.244 47.5253),SEATTLE 42,"{345.0, 138.0, 13.8, 1.0}",8,1.06047,King,Washington
POINT (-122.2081 47.4522),SEATTLE 43,{138.0},1,1.065041,King,Washington
POINT (-122.2059 47.507),SEATTLE 44,{138.0},1,1.060898,King,Washington
POINT (-122.2303 47.8401),LYNNWOOD 5,{138.0},1,1.071204,Snohomish,Washington
POINT (-122.2624 47.8719),LYNNWOOD 6,"{1.0, 138.0, 18.0}",4,1.061974,Snohomish,Washington
POINT (-122.3466 47.1506),PUYALLUP 5,{138.0},1,1.061476,Pierce,Washington
POINT (-122.2755 47.368),AUBURN 1,{138.0},1,1.056024,King,Washington
POINT (-122.3333 47.2525),AUBURN 2,{138.0},2,1.052809,Pierce,Washington
POINT (-122.3556 47.1096),PUYALLUP 6,{138.0},2,1.065749,Pierce,Washington
POINT (-122.3217 47.2232),PUYALLUP 7,{138.0},1,1.05221,Pierce,Washington
POINT (-122.2751 47.8443),EVERETT 1,{138.0},1,1.063245,Snohomish,Washington
POINT (-122.1751 47.9909),EVERETT 2,"{345.0, 138.0}",2,1.065848,Snohomish,Washington
POINT (-122.2838 47.3465),KENT 1,{138.0},3,1.055381,King,Washington
POINT (-122.3342 47.4797),KENT 2,{138.0},1,1.067064,King,Washington
POINT (-122.2897 47.7533),KENMORE,{138.0},2,1.076837,King,Washington
POINT (-122.154 47.5762),SEATTLE 45,{138.0},1,1.069259,King,Washington
POINT (-122.2121 45.6682),WASHOUGAL,{138.0},2,1.016263,Skamania,Washington
POINT (-122.2755 48.1583),MARYSVILLE 1,{138.0},1,1.066348,Snohomish,Washington
POINT (-122.1966 48.0128),MARYSVILLE 2,{138.0},2,1.066457,Snohomish,Washington
POINT (-122.269 47.6218),MERCER ISLAND,{138.0},2,1.084182,King,Washington
POINT (-122.2525 47.8893),EVERETT 3,{138.0},2,1.063502,Snohomish,Washington
POINT (-122.2946 47.9502),EVERETT 4,{138.0},3,1.060851,Snohomish,Washington
POINT (-122.1629 47.2663),SUMNER,{138.0},1,1.058954,King,Washington
POINT (-122.1567 47.5072),RENTON 1,{138.0},2,1.061135,King,Washington
POINT (-122.2601 47.3545),AUBURN 3,{138.0},1,1.055836,King,Washington
POINT (-122.1294 47.3152),AUBURN 4,{138.0},1,1.058984,King,Washington
POINT (-122.219 47.8022),KIRKLAND 1,{138.0},1,1.081616,Snohomish,Washington
POINT (-122.2157 47.7388),KIRKLAND 2,{138.0},1,1.083023,King,Washington
POINT (-122.2856 48.0627),EVERETT 5,{138.0},1,1.07206,Snohomish,Washington
POINT (-122.1908 47.958),EVERETT 6,{138.0},1,1.068525,Snohomish,Washington
POINT (-122.287 47.8138),BOTHELL 1,{138.0},3,1.062846,Snohomish,Washington
POINT (-122.23 47.8688),BOTHELL 2,{138.0},4,1.066508,Snohomish,Washington
POINT (-122.1913 47.5984),BELLEVUE 1,{138.0},1,1.072185,King,Washington
POINT (-122.2587 47.537),BELLEVUE 2,{138.0},1,1.06541,King,Washington
POINT (-122.2279 47.7109),BOTHELL 3,{138.0},1,1.078311,King,Washington
POINT (-122.2399 47.7242),BOTHELL 4,{138.0},1,1.080656,King,Washington
POINT (-122.1696 47.4854),RENTON 2,{138.0},1,1.059961,King,Washington
POINT (-122.1884 47.8217),BOTHELL 5,{138.0},1,1.076422,Snohomish,Washington
POINT (-122.1037 47.782),BOTHELL 6,{138.0},2,1.07588,Snohomish,Washington
POINT (-122.2714 47.3594),KENT 3,"{345.0, 138.0}",2,1.060601,King,Washington
POINT (-122.2381 47.349),KENT 4,{138.0},1,1.053924,King,Washington
POINT (-122.2233 47.3235),KENT 5,{138.0},1,1.055883,King,Washington
POINT (-122.2195 47.3765),KENT 6,{138.0},2,1.061922,King,Washington
POINT (-122.1558 47.7263),KIRKLAND 3,{138.0},1,1.084342,King,Washington
POINT (-122.0945 47.7358),KIRKLAND 4,{138.0},1,1.080198,King,Washington
POINT (-122.2459 47.4739),RENTON 3,{138.0},2,1.062359,King,Washington
POINT (-122.1128 47.4626),RENTON 4,{138.0},2,1.060205,King,Washington
POINT (-122.0894 47.8353),EVERETT 7,{138.0},1,1.076773,Snohomish,Washington
POINT (-122.2025 47.8077),EVERETT 8,"{345.0, 138.0}",3,1.064655,Snohomish,Washington
POINT (-122.2057 47.6034),BELLEVUE 3,{138.0},2,1.074052,King,Washington
POINT (-122.0839 47.145),BONNEY LAKE 1,"{345.0, 138.0}",2,1.071288,Pierce,Washington
POINT (-122.0778 47.116),BONNEY LAKE 2,{138.0},1,1.066534,Pierce,Washington
POINT (-122.1599 46.8799),EATONVILLE,{138.0},1,1.050949,Pierce,Washington
POINT (-122.2423 47.5212),BELLEVUE 4,{138.0},1,1.067371,King,Washington
POINT (-122.2337 47.5196),BELLEVUE 5,{138.0},2,1.065482,King,Washington
POINT (-122.1724 48.0135),EVERETT 9,{138.0},1,1.066503,Snohomish,Washington
POINT (-122.1041 48.0409),MARYSVILLE 3,{138.0},1,1.064279,Snohomish,Washington
POINT (-122.1697 48.0427),MARYSVILLE 4,{138.0},1,1.06736,Snohomish,Washington
POINT (-122.1358 48.3909),MOUNT VERNON 3,{138.0},3,1.058724,Skagit,Washington
POINT (-122.1571 47.6734),BELLEVUE 6,{138.0},2,1.079252,King,Washington
POINT (-122.1937 47.8101),WOODINVILLE 1,{138.0},2,1.079839,Snohomish,Washington
POINT (-122.0951 47.3361),AUBURN 5,{138.0},1,1.059241,King,Washington
POINT (-122.0522 47.3826),AUBURN 6,{138.0},2,1.059685,King,Washington
POINT (-122.1399 47.486),RENTON 5,{138.0},1,1.060761,King,Washington
POINT (-122.2113 47.5182),RENTON 6,{138.0},3,1.061902,King,Washington
POINT (-122.0614 48.5591),SEDRO WOOLLEY,{138.0},1,1.05053,Skagit,Washington
POINT (-122.0628 48.8663),MAPLE FALLS,{138.0},1,1.058451,Whatcom,Washington
POINT (-122.1622 47.6987),REDMOND 1,{138.0},1,1.084817,King,Washington
POINT (-122.1766 47.73),REDMOND 2,"{345.0, 138.0}",2,1.070343,King,Washington
POINT (-122.1672 47.4375),KENT 7,{138.0},1,1.061972,King,Washington
POINT (-122.0534 47.352),KENT 8,"{345.0, 138.0}",2,1.060636,King,Washington
POINT (-122.1358 47.5654),RENTON 7,{138.0},1,1.069295,King,Washington
POINT (-122.0441 47.5841),RENTON 8,{138.0},1,1.067999,King,Washington
POINT (-122.0228 47.7753),SNOHOMISH 1,{138.0},1,1.070749,King,Washington
POINT (-122.1792 47.7964),SNOHOMISH 2,{138.0},1,1.068528,Snohomish,Washington
POINT (-122.1022 47.5722),BELLEVUE 7,"{345.0, 138.0}",2,1.063076,King,Washington
POINT (-121.9854 48.0716),LAKE STEVENS 1,{138.0},3,1.062232,Snohomish,Washington
POINT (-122.1145 47.9546),LAKE STEVENS 2,{138.0},2,1.064862,Snohomish,Washington
POINT (-122.1586 47.2107),BUCKLEY,{138.0},1,1.056427,Pierce,Washington
POINT (-122.0414 45.7705),CARSON 1,{138.0},1,1.034319,Skamania,Washington
POINT (-122.0227 47.7174),WOODINVILLE 2,{138.0},1,1.078231,King,Washington
POINT (-122.0828 47.6539),SAMMAMISH 1,{138.0},3,1.076344,King,Washington
POINT (-122.0662 47.6533),SAMMAMISH 2,{138.0},2,1.076745,King,Washington
POINT (-122.1057 47.53),SAMMAMISH 3,{138.0},1,1.058444,King,Washington
POINT (-122.0532 47.6984),REDMOND 3,{138.0},1,1.078767,King,Washington
POINT (-122.0445 47.5088),ISSAQUAH 1,{138.0},1,1.056261,King,Washington
POINT (-121.9987 47.4204),ISSAQUAH 2,{138.0},1,1.054809,King,Washington
POINT (-122.0213 47.5484),ISSAQUAH 3,{138.0},1,1.057867,King,Washington
POINT (-121.9757 47.8617),SNOHOMISH 3,{138.0},1,1.077977,Snohomish,Washington
POINT (-122.083 47.8765),SNOHOMISH 4,{138.0},1,1.070949,Snohomish,Washington
POINT (-121.9725 47.3322),MAPLE VALLEY 1,{138.0},2,1.059265,King,Washington
POINT (-122.0525 47.5141),MAPLE VALLEY 2,{138.0},1,1.056347,King,Washington
POINT (-122.022 45.6247),STEVENSON,{138.0},2,1.043893,Skamania,Washington
POINT (-122.0393 48.2871),ARLINGTON 1,{138.0},1,1.058175,Snohomish,Washington
POINT (-121.8771 48.1649),ARLINGTON 2,{138.0},2,1.058017,Snohomish,Washington
POINT (-121.891 47.1536),ENUMCLAW,"{1.0, 138.0, 18.0}",4,1.063034,Pierce,Washington
POINT (-121.8165 47.6184),FALL CITY 1,{138.0},1,1.063418,King,Washington
POINT (-121.8045 47.8344),MONROE 1,{138.0},1,1.077459,Snohomish,Washington
POINT (-121.822 47.9353),MONROE 2,{138.0},1,1.085008,Snohomish,Washington
POINT (-121.8989 47.7267),CARNATION,{138.0},1,1.077275,King,Washington
POINT (-121.7903 47.72),DUVALL,{138.0},2,1.07597,King,Washington
POINT (-121.7131 47.6707),SNOQUALMIE,{138.0},4,1.076543,King,Washington
POINT (-121.7739 47.8719),SULTAN 1,{138.0},2,1.078397,Snohomish,Washington
POINT (-121.5981 48.0007),GRANITE FALLS,{138.0},1,1.074641,Snohomish,Washington
