wkt,flow capacity,pf,qf,pt,qt,kilovolt,line_name,srouce,target,actual flow,loading percent
"LINESTRING (-123.9825 46.4983, -123.9617 46.2056)",184.78,6.812495,-1.406263,-6.80653,-1.940648,138.0,OCEAN PARK -- WARRENTON,OCEAN PARK,WARRENTON,6.812495,3.6868140491395174
"LINESTRING (-123.8474 47.1743, -123.686 47.1889)",197.37,-13.498145,-6.599605,13.5127,4.127164,138.0,HOQUIAM -- MONTESANO,MONTESANO,HOQUIAM,13.498145,6.839005421289962
"LINESTRING (-123.762 48.0025, -123.332 47.988)",214.06,-25.177309,-3.575685,25.309786,1.494689,138.0,PORT ANGELES 1 -- PORT ANGELES 2,PORT ANGELES 2,PORT ANGELES 1,25.177309,11.7617999626273
"LINESTRING (-123.6639 47.165, -123.6639 47.165)",473.63,198.292119,34.472134,-198.200155,-27.656198,345.0,ABERDEEN 1 -- ABERDEEN 1,ABERDEEN 1,ABERDEEN 1,198.292119,41.86646095053101
"LINESTRING (-123.6639 47.165, -123.0717 47.1479)",1105.1,109.948841,-10.614807,-109.801371,-23.711276,345.0,ABERDEEN 1 -- SHELTON 2,ABERDEEN 1,SHELTON 2,109.948841,9.949220975477333
"LINESTRING (-123.6639 47.165, -123.48 46.9692)",1237.08,-308.24096,-23.857327,308.972232,11.927425,345.0,ABERDEEN 1 -- ELMA 2,ELMA 2,ABERDEEN 1,308.24096,24.916817020726224
"LINESTRING (-123.6639 47.165, -123.686 47.1889)",236.46,71.510018,11.04155,-71.41351,-11.113526,138.0,ABERDEEN 1 -- MONTESANO,ABERDEEN 1,MONTESANO,71.510018,30.241908990949845
"LINESTRING (-123.6639 47.165, -122.7883 47.3039)",239.71,68.900137,-13.445352,-68.251855,4.655687,138.0,ABERDEEN 1 -- GIG HARBOR 1,ABERDEEN 1,GIG HARBOR 1,68.900137,28.743121688707184
"LINESTRING (-123.686 47.1889, -123.686 47.1889)",10000.0,25.011825,11.807361,-25.01,-11.8,138.0,MONTESANO -- MONTESANO,MONTESANO,MONTESANO,25.011825,0.25011825
"LINESTRING (-123.6148 46.656, -123.6148 46.656)",10000.0,25.891707,7.167866,-25.89,-7.16,138.0,RAYMOND -- RAYMOND,RAYMOND,RAYMOND,25.891707,0.25891706999999997
"LINESTRING (-123.6148 46.656, -123.1719 46.1789)",245.26,-78.576437,0.803409,79.109781,-19.078236,138.0,RAYMOND -- CLATSKANIE 2,CLATSKANIE 2,RAYMOND,78.576437,32.03801557530784
"LINESTRING (-123.2943 47.0719, -123.1433 47.0673)",250.62,94.153277,-9.097856,-93.978949,6.377688,138.0,ELMA 1 -- OLYMPIA 2,ELMA 1,OLYMPIA 2,94.153277,37.56814180831538
"LINESTRING (-123.2943 47.0719, -123.48 46.9692)",263.59,-118.623277,2.907856,119.395658,-0.523047,138.0,ELMA 1 -- ELMA 2,ELMA 2,ELMA 1,118.623277,45.002950415417885
"LINESTRING (-123.332 47.988, -123.332 47.988)",445.05,142.077697,-16.957138,-141.98392,22.860288,345.0,PORT ANGELES 2 -- PORT ANGELES 2,PORT ANGELES 2,PORT ANGELES 2,142.077697,31.92398539489945
"LINESTRING (-123.332 47.988, -123.1603 47.3698)",1150.4,-142.077697,16.957138,142.496802,-78.844804,345.0,PORT ANGELES 2 -- SHELTON 3,SHELTON 3,PORT ANGELES 2,142.077697,12.350286595966619
"LINESTRING (-123.332 47.988, -123.0817 48.0024)",233.76,63.324135,6.86415,-63.115944,-7.903309,138.0,PORT ANGELES 2 -- SEQUIM 2,PORT ANGELES 2,SEQUIM 2,63.324135,27.089380133470225
"LINESTRING (-123.332 46.1904, -123.1838 45.8409)",251.36,89.338047,-13.061138,-88.848235,2.529352,138.0,CATHLAMET -- VERNONIA,CATHLAMET,VERNONIA,89.338047,35.541871021642265
"LINESTRING (-123.332 46.1904, -123.4066 46.154)",201.56,-16.593042,3.245044,16.599879,-4.399224,138.0,CATHLAMET -- CLATSKANIE 3,CLATSKANIE 3,CATHLAMET,16.593042,8.232308989878945
"LINESTRING (-123.332 46.1904, -123.172 46.1789)",247.31,-81.735005,7.686094,82.066124,-6.711024,138.0,CATHLAMET -- CLATSKANIE 5,CLATSKANIE 5,CATHLAMET,81.735005,33.04961586672597
"LINESTRING (-123.13 47.1504, -123.0717 47.1479)",204.48,-18.422723,-32.608831,18.44148,32.060385,138.0,SHELTON 1 -- SHELTON 2,SHELTON 2,SHELTON 1,18.422723,9.009547633020345
"LINESTRING (-123.13 47.1504, -123.1324 47.0228)",210.69,-29.767277,16.688831,29.839537,-17.733609,138.0,SHELTON 1 -- OLYMPIA 1,OLYMPIA 1,SHELTON 1,29.767277,14.128471688262376
"LINESTRING (-123.0717 47.1479, -123.0717 47.1479)",465.77,176.459088,83.510169,-176.273257,-75.222694,345.0,SHELTON 2 -- SHELTON 2,SHELTON 2,SHELTON 2,176.459088,37.885455911716086
"LINESTRING (-123.0717 47.1479, -123.1603 47.3698)",1205.73,304.80789,-30.242121,-304.329722,11.206497,345.0,SHELTON 2 -- SHELTON 3,SHELTON 2,SHELTON 3,304.80789,25.27994575900077
"LINESTRING (-123.0717 47.1479, -123.48 46.9692)",1271.34,-371.465606,-29.556772,372.775082,17.603951,345.0,SHELTON 2 -- ELMA 2,ELMA 2,SHELTON 2,371.465606,29.218431418817943
"LINESTRING (-123.0717 47.1479, -123.0213 47.1433)",261.21,113.871777,34.192309,-113.479754,-33.017009,138.0,SHELTON 2 -- OLYMPIA 3,SHELTON 2,OLYMPIA 3,113.871777,43.59395773515563
"LINESTRING (-123.0418 46.7918, -122.8598 46.7559)",188.02,7.854865,-15.952947,-7.839812,12.568297,138.0,ROCHESTER -- CENTRALIA 2,ROCHESTER,CENTRALIA 2,7.854865,4.177675247314115
"LINESTRING (-123.0418 46.7918, -122.9131 46.6225)",219.05,-38.744865,3.192947,38.911585,-4.198215,138.0,ROCHESTER -- CHEHALIS 2,CHEHALIS 2,ROCHESTER,38.744865,17.687680894772882
"LINESTRING (-123.0375 48.6268, -122.9455 48.5514)",220.77,-18.65,-4.97,18.665294,3.835316,138.0,FRIDAY HARBOR -- EASTSOUND,EASTSOUND,FRIDAY HARBOR,18.65,8.447705757122796
"LINESTRING (-123.158 48.0874, -123.158 48.0874)",10000.0,32.232729,12.731246,-32.23,-12.72,138.0,SEQUIM 1 -- SEQUIM 1,SEQUIM 1,SEQUIM 1,32.232729,0.32232729
"LINESTRING (-123.158 48.0874, -123.0817 48.0024)",209.69,-30.829101,-6.941264,30.885944,6.053309,138.0,SEQUIM 1 -- SEQUIM 2,SEQUIM 2,SEQUIM 1,30.829101,14.702227574037865
"LINESTRING (-123.158 48.0874, -122.8913 48.0143)",199.0,-1.403628,-5.789981,1.404494,1.715931,138.0,SEQUIM 1 -- PORT TOWNSEND,PORT TOWNSEND,SEQUIM 1,1.403628,0.7053407035175879
"LINESTRING (-123.1324 47.0228, -123.1324 47.0228)",10000.0,39.80345,7.194862,-39.8,-7.18,138.0,OLYMPIA 1 -- OLYMPIA 1,OLYMPIA 1,OLYMPIA 1,39.80345,0.39803449999999996
"LINESTRING (-123.1324 47.0228, -123.48 46.9692)",237.68,-69.642988,10.538746,70.129717,-12.63799,138.0,OLYMPIA 1 -- ELMA 2,ELMA 2,OLYMPIA 1,69.642988,29.30115617637159
"LINESTRING (-123.1433 47.0673, -122.9228 47.1717)",226.1,52.478949,-12.057688,-52.331253,8.249515,138.0,OLYMPIA 2 -- OLYMPIA 4,OLYMPIA 2,OLYMPIA 4,52.478949,23.210503759398495
"LINESTRING (-123.011 46.1277, -122.9894 46.1467)",216.72,-41.413752,22.979976,41.444838,-23.21171,138.0,LONGVIEW 1 -- LONGVIEW 2,LONGVIEW 2,LONGVIEW 1,41.413752,19.10933554817276
"LINESTRING (-123.011 46.1277, -122.8091 46.3394)",216.4,-21.87724,-16.525472,21.950405,13.24099,138.0,LONGVIEW 1 -- CASTLE ROCK 1,CASTLE ROCK 1,LONGVIEW 1,21.87724,10.109630314232902
"LINESTRING (-123.011 46.1277, -122.9855 46.1388)",237.01,-70.028132,11.642705,70.096978,-11.579339,138.0,LONGVIEW 1 -- LONGVIEW 5,LONGVIEW 5,LONGVIEW 1,70.028132,29.546488333825575
"LINESTRING (-123.011 46.1277, -122.8864 45.8141)",246.79,74.269123,-25.057209,-73.813485,21.986012,138.0,LONGVIEW 1 -- SCAPPOOSE,LONGVIEW 1,SCAPPOOSE,74.269123,30.09405689047368
"LINESTRING (-122.9894 46.1467, -122.9894 46.1467)",10000.0,59.06028,42.702268,-59.05,-42.65,138.0,LONGVIEW 2 -- LONGVIEW 2,LONGVIEW 2,LONGVIEW 2,59.06028,0.5906028
"LINESTRING (-122.9894 46.1467, -122.9894 46.1467)",10000.0,-59.06028,-42.702268,59.072963,42.762872,138.0,LONGVIEW 2 -- LONGVIEW 2,LONGVIEW 2,LONGVIEW 2,59.06028,0.5906028
"LINESTRING (-122.9894 46.1467, -122.9855 46.1388)",254.33,-100.517801,-19.551162,100.568197,19.560215,138.0,LONGVIEW 2 -- LONGVIEW 5,LONGVIEW 5,LONGVIEW 2,100.517801,39.52258915582117
"LINESTRING (-122.9629 46.66, -122.8957 46.4187)",230.13,-64.706793,30.170659,64.8785,-38.987632,138.0,CHEHALIS 1 -- WINLOCK,WINLOCK,CHEHALIS 1,64.706793,28.117495763264245
"LINESTRING (-122.9629 46.66, -122.8519 47.0745)",255.03,98.038381,-22.990701,-97.49926,2.138457,138.0,CHEHALIS 1 -- OLYMPIA 7,CHEHALIS 1,OLYMPIA 7,98.038381,38.44190134493981
"LINESTRING (-122.9629 46.66, -122.9131 46.6225)",255.57,-91.621587,-18.499958,91.971857,19.156513,138.0,CHEHALIS 1 -- CHEHALIS 2,CHEHALIS 2,CHEHALIS 1,91.621587,35.84989904918418
"LINESTRING (-123.0213 47.1433, -123.0213 47.1433)",10000.0,-36.59,-13.17,36.593611,13.184209,138.0,OLYMPIA 3 -- OLYMPIA 3,OLYMPIA 3,OLYMPIA 3,36.59,0.36590000000000006
"LINESTRING (-123.0213 47.1433, -122.9228 47.1717)",243.11,76.886143,19.832799,-76.728825,-20.290251,138.0,OLYMPIA 3 -- OLYMPIA 4,OLYMPIA 3,OLYMPIA 4,76.886143,31.62607173707375
"LINESTRING (-122.9228 47.1717, -122.752 47.1839)",245.08,85.490078,-1.649264,-85.200801,-0.292573,138.0,OLYMPIA 4 -- OLYMPIA 8,OLYMPIA 4,OLYMPIA 8,85.490078,34.88251917741145
"LINESTRING (-122.8957 46.4187, -122.8091 46.3394)",236.56,47.455993,25.880594,-47.300405,-26.15099,138.0,WINLOCK -- CASTLE ROCK 1,WINLOCK,CASTLE ROCK 1,47.455993,20.060869546838013
"LINESTRING (-122.8957 46.4187, -122.5885 46.5035)",270.97,-132.414493,3.177037,133.023,-9.183656,138.0,WINLOCK -- SILVER CREEK 1,SILVER CREEK 1,WINLOCK,132.414493,48.86684614532973
"LINESTRING (-122.8481 46.7548, -122.6486 46.8176)",241.87,69.945782,-3.010026,-69.650635,1.824918,138.0,CENTRALIA 1 -- RAINIER 1,CENTRALIA 1,RAINIER 1,69.945782,28.9187505684872
"LINESTRING (-122.8481 46.7548, -122.8598 46.7559)",265.85,-129.195782,-8.349974,129.387141,8.792601,138.0,CENTRALIA 1 -- CENTRALIA 2,CENTRALIA 2,CENTRALIA 1,129.195782,48.597247319917244
"LINESTRING (-122.9264 47.4535, -122.9264 47.4535)",10000.0,37.542939,1.754583,-37.54,-1.74,138.0,BELFAIR -- BELFAIR,BELFAIR,BELFAIR,37.542939,0.37542939
"LINESTRING (-122.9264 47.4535, -122.8782 47.5296)",234.78,59.70679,-3.408551,-59.574205,2.78564,138.0,BELFAIR -- BREMERTON 2,BELFAIR,BREMERTON 2,59.70679,25.43095238095238
"LINESTRING (-122.9264 47.4535, -123.1603 47.3698)",254.45,-97.249729,1.653967,97.93995,-0.045992,138.0,BELFAIR -- SHELTON 3,SHELTON 3,BELFAIR,97.249729,38.21958302220476
"LINESTRING (-122.8581 46.9955, -122.8581 46.9955)",10000.0,45.764324,5.95974,-45.76,-5.94,138.0,OLYMPIA 5 -- OLYMPIA 5,OLYMPIA 5,OLYMPIA 5,45.764324,0.45764324
"LINESTRING (-122.8581 46.9955, -122.886 46.9904)",199.81,-15.661816,-5.640131,15.665267,5.275181,138.0,OLYMPIA 5 -- OLYMPIA 6,OLYMPIA 6,OLYMPIA 5,15.661816,7.83835443671488
"LINESTRING (-122.8581 46.9955, -122.8519 47.0745)",230.09,-53.707021,6.615022,53.81926,-6.698457,138.0,OLYMPIA 5 -- OLYMPIA 7,OLYMPIA 7,OLYMPIA 5,53.707021,23.341744969359816
"LINESTRING (-122.8581 46.9955, -122.7906 47.003)",209.43,23.604513,-6.934631,-23.587907,6.523248,138.0,OLYMPIA 5 -- LACEY 2,OLYMPIA 5,LACEY 2,23.604513,11.270836556367282
"LINESTRING (-122.886 46.9904, -122.886 46.9904)",10000.0,-45.76,-10.24,45.764703,10.261274,138.0,OLYMPIA 6 -- OLYMPIA 6,OLYMPIA 6,OLYMPIA 6,45.76,0.4576
"LINESTRING (-122.886 46.9904, -122.886 46.9904)",10000.0,0.0,0.0,0.0,0.0,138.0,OLYMPIA 6 -- OLYMPIA 6,OLYMPIA 6,OLYMPIA 6,0.0,0.0
"LINESTRING (-122.886 46.9904, -122.8598 46.7559)",236.41,-61.42997,-15.536456,61.747625,13.402562,138.0,OLYMPIA 6 -- CENTRALIA 2,CENTRALIA 2,OLYMPIA 6,61.42997,25.984505731568035
"LINESTRING (-122.9455 48.5514, -122.9455 48.5514)",10000.0,17.51076,1.94328,-17.51,-1.94,138.0,EASTSOUND -- EASTSOUND,EASTSOUND,EASTSOUND,17.51076,0.1751076
"LINESTRING (-122.9455 48.5514, -122.6924 48.5919)",232.86,-36.176054,-5.778597,36.31532,-0.836261,138.0,EASTSOUND -- ANACORTES 1,ANACORTES 1,EASTSOUND,36.176054,15.535538091557157
"LINESTRING (-122.8913 48.0143, -122.6824 47.9481)",227.67,-44.724494,-17.845931,44.921502,11.867096,138.0,PORT TOWNSEND -- PORT LUDLOW,PORT LUDLOW,PORT TOWNSEND,44.724494,19.644438880836297
"LINESTRING (-122.8071 46.9218, -122.8071 46.9218)",10000.0,-17.57,-5.16,17.570913,5.163101,138.0,TENINO -- TENINO,TENINO,TENINO,17.57,0.17570000000000002
"LINESTRING (-122.8071 46.9218, -122.7153 46.8946)",213.54,36.061631,-9.816475,-36.039528,8.53978,138.0,TENINO -- OLYMPIA 9,TENINO,OLYMPIA 9,36.061631,16.88752973681746
"LINESTRING (-122.8071 46.9218, -122.6511 46.6517)",227.01,-53.632543,4.653374,53.787312,-11.804245,138.0,TENINO -- ONALASKA,ONALASKA,TENINO,53.632543,23.62563014845161
"LINESTRING (-122.7222 46.9892, -122.7222 46.9892)",466.21,175.91532,45.440585,-175.755355,-38.020626,345.0,LACEY 1 -- LACEY 1,LACEY 1,LACEY 1,175.91532,37.733064498831006
"LINESTRING (-122.7222 46.9892, -122.7222 46.9892)",10000.0,-175.91532,-45.440585,175.985139,45.756979,345.0,LACEY 1 -- LACEY 1,LACEY 1,LACEY 1,175.91532,1.7591532
"LINESTRING (-122.7222 46.9892, -122.7906 47.003)",201.84,20.365284,33.373608,-20.342093,-34.143248,138.0,LACEY 1 -- LACEY 2,LACEY 1,LACEY 2,20.365284,10.089815695600475
"LINESTRING (-122.7222 46.9892, -122.6934 47.0142)",235.48,59.106265,6.961086,-59.048039,-6.904542,138.0,LACEY 1 -- OLYMPIA 10,LACEY 1,OLYMPIA 10,59.106265,25.1003333616443
"LINESTRING (-122.7222 46.9892, -122.665 47.1074)",230.02,52.353806,-10.454068,-52.27008,6.967098,138.0,LACEY 1 -- DUPONT,LACEY 1,DUPONT,52.353806,22.760545169985217
"LINESTRING (-122.7222 46.9892, -122.0534 47.352)",1228.28,244.319119,-65.775917,-243.707382,-5.408501,345.0,LACEY 1 -- KENT 8,LACEY 1,KENT 8,244.319119,19.89115828638421
"LINESTRING (-122.7222 46.9892, -122.8598 46.7559)",1358.91,-420.304258,20.018938,421.628785,-26.878465,345.0,LACEY 1 -- CENTRALIA 2,CENTRALIA 2,LACEY 1,420.304258,30.929513948679453
"LINESTRING (-122.752 47.1839, -122.7192 47.2477)",211.25,34.130801,6.603397,-34.103129,-7.880019,138.0,OLYMPIA 8 -- GIG HARBOR 2,OLYMPIA 8,GIG HARBOR 2,34.130801,16.156592189349112
"LINESTRING (-122.8087 47.5276, -122.8087 47.5276)",10000.0,-36.243264,-9.314013,36.246392,9.32671,138.0,BREMERTON 1 -- BREMERTON 1,BREMERTON 1,BREMERTON 1,36.243264,0.36243264000000003
"LINESTRING (-122.8087 47.5276, -122.8087 47.5276)",10000.0,36.243264,9.314013,-36.24,-9.3,138.0,BREMERTON 1 -- BREMERTON 1,BREMERTON 1,BREMERTON 1,36.243264,0.36243264000000003
"LINESTRING (-122.8087 47.5276, -122.8782 47.5296)",196.02,-13.307059,8.906162,13.314205,-9.60564,138.0,BREMERTON 1 -- BREMERTON 2,BREMERTON 2,BREMERTON 1,13.307059,6.788623099683706
"LINESTRING (-122.8087 47.5276, -122.665 47.498)",206.38,-22.939333,-18.232872,22.96629,16.671061,138.0,BREMERTON 1 -- OLALLA,OLALLA,BREMERTON 1,22.939333,11.115094970442874
"LINESTRING (-122.8782 47.5296, -122.8782 47.5296)",108.63,-0.0,0.0,-0.0,0.0,138.0,BREMERTON 2 -- BREMERTON 2,BREMERTON 2,BREMERTON 2,0.0,0.0
"LINESTRING (-122.8782 47.5296, -122.8782 47.5296)",54.31,0.0,0.0,0.0,0.0,13.8,BREMERTON 2 -- BREMERTON 2,BREMERTON 2,BREMERTON 2,0.0,0.0
"LINESTRING (-122.8782 47.5296, -122.8782 47.5296)",54.31,0.0,0.0,0.0,0.0,13.8,BREMERTON 2 -- BREMERTON 2,BREMERTON 2,BREMERTON 2,0.0,0.0
"LINESTRING (-122.8403 46.0854, -122.7669 46.0192)",203.82,17.85447,-8.452347,-17.832633,7.36217,138.0,KELSO -- KALAMA,KELSO,KALAMA,17.85447,8.75992051810421
"LINESTRING (-122.8403 46.0854, -122.9184 46.1039)",244.58,-76.71447,-6.027653,76.881815,5.758933,138.0,KELSO -- LONGVIEW 3,LONGVIEW 3,KELSO,76.71447,31.365798511734404
"LINESTRING (-122.7386 47.3623, -122.6216 47.4023)",221.92,41.785556,-6.767319,-41.742651,5.188329,138.0,LAKEBAY 1 -- PORT ORCHARD 2,LAKEBAY 1,PORT ORCHARD 2,41.785556,18.829107786589763
"LINESTRING (-122.7386 47.3623, -122.6704 47.3081)",229.14,-52.855556,6.607319,52.942657,-7.124718,138.0,LAKEBAY 1 -- STEILACOOM,STEILACOOM,LAKEBAY 1,52.855556,23.06692676966047
"LINESTRING (-122.7153 46.8946, -122.6486 46.8176)",236.16,-58.345645,2.382853,58.450635,-4.524918,138.0,OLYMPIA 9 -- RAINIER 1,RAINIER 1,OLYMPIA 9,58.345645,24.70598111449864
"LINESTRING (-122.7153 46.8946, -122.5961 47.1162)",232.27,56.015174,-21.262633,-55.923891,10.70314,138.0,OLYMPIA 9 -- UNIVERSITY PLACE,OLYMPIA 9,UNIVERSITY PLACE,56.015174,24.11640504585181
"LINESTRING (-122.6934 47.0142, -122.6934 47.0142)",10000.0,38.375142,20.199535,-38.37,-20.18,138.0,OLYMPIA 10 -- OLYMPIA 10,OLYMPIA 10,OLYMPIA 10,38.375142,0.38375142
"LINESTRING (-122.6934 47.0142, -122.6066 47.0621)",205.7,20.672898,-13.294993,-20.642319,12.689928,138.0,OLYMPIA 10 -- LAKEWOOD 2,OLYMPIA 10,LAKEWOOD 2,20.672898,10.050023334953817
"LINESTRING (-122.7669 46.0192, -122.7669 46.0192)",10000.0,14.720524,4.642523,-14.72,-4.64,138.0,KALAMA -- KALAMA,KALAMA,KALAMA,14.720524,0.14720524
"LINESTRING (-122.7669 46.0192, -122.9718 45.949)",181.22,3.112109,-12.004694,-3.101782,10.393186,138.0,KALAMA -- SAINT HELENS,KALAMA,SAINT HELENS,3.112109,1.717309899569584
"LINESTRING (-122.7883 47.3039, -122.7192 47.2477)",218.87,40.291855,-7.635687,-40.272495,4.412162,138.0,GIG HARBOR 1 -- GIG HARBOR 2,GIG HARBOR 1,GIG HARBOR 2,40.291855,18.409035043633207
"LINESTRING (-122.691 45.7379, -122.6517 45.7159)",205.12,18.243558,-0.626091,-18.236571,0.146441,138.0,VANCOUVER 1 -- VANCOUVER 2,VANCOUVER 1,VANCOUVER 2,18.243558,8.894090288611544
"LINESTRING (-122.691 45.7379, -122.5679 46.0356)",216.78,-36.625148,5.704151,36.723287,-14.513724,138.0,VANCOUVER 1 -- WOODLAND 1,WOODLAND 1,VANCOUVER 1,36.625148,16.895077036626997
"LINESTRING (-122.691 45.7379, -122.6659 45.8584)",236.35,-58.95829,18.970478,59.175535,-21.454205,138.0,VANCOUVER 1 -- LA CENTER,LA CENTER,VANCOUVER 1,58.95829,24.945331076792893
"LINESTRING (-122.691 45.7379, -122.722 45.6788)",229.46,48.87988,-31.978538,-48.802791,31.497977,138.0,VANCOUVER 1 -- PORTLAND 24,VANCOUVER 1,PORTLAND 24,48.87988,21.302135448444172
"LINESTRING (-122.6578 47.7074, -122.6578 47.7074)",616.81,197.488807,20.865497,-196.948137,9.092221,345.0,SILVERDALE 1 -- SILVERDALE 1,SILVERDALE 1,SILVERDALE 1,197.488807,32.01776997778895
"LINESTRING (-122.6578 47.7074, -122.4283 47.2661)",1170.64,-197.488807,-20.865497,197.817699,-53.020397,345.0,SILVERDALE 1 -- TACOMA 21,TACOMA 21,SILVERDALE 1,197.488807,16.87015709355566
"LINESTRING (-122.6578 47.7074, -122.6578 47.7074)",466.81,-197.264131,-8.420101,196.948137,-9.092221,138.0,SILVERDALE 1 -- SILVERDALE 1,SILVERDALE 1,SILVERDALE 1,197.264131,42.257906000299904
"LINESTRING (-122.6578 47.7074, -122.6578 47.7539)",219.64,61.404822,5.059808,-61.30265,-5.151007,138.0,SILVERDALE 1 -- POULSBO 2,SILVERDALE 1,POULSBO 2,61.404822,27.957030595519942
"LINESTRING (-122.6578 47.7074, -122.6684 47.5868)",246.83,79.999309,-9.149707,-79.828205,6.364978,138.0,SILVERDALE 1 -- PORT ORCHARD 3,SILVERDALE 1,PORT ORCHARD 3,79.999309,32.410691163959
"LINESTRING (-122.6578 47.7074, -122.6578 47.7074)",150.0,-0.0,-0.0,0.0,0.0,24.0,SILVERDALE 1 -- SILVERDALE 1,SILVERDALE 1,SILVERDALE 1,0.0,0.0
"LINESTRING (-122.7149 47.7601, -122.7149 47.7601)",10000.0,22.321426,8.775409,-22.32,-8.77,138.0,SILVERDALE 2 -- SILVERDALE 2,SILVERDALE 2,SILVERDALE 2,22.321426,0.22321426
"LINESTRING (-122.7149 47.7601, -122.703 47.7207)",182.93,-11.136191,-33.47236,11.158165,33.122683,138.0,SILVERDALE 2 -- BREMERTON 3,BREMERTON 3,SILVERDALE 2,11.136191,6.087678893565845
"LINESTRING (-122.7149 47.7601, -122.6841 47.7984)",198.55,-11.185236,24.696952,11.199431,-25.48144,138.0,SILVERDALE 2 -- POULSBO 1,POULSBO 1,SILVERDALE 2,11.185236,5.633460589272223
"LINESTRING (-122.7719 48.9, -122.7719 48.9)",10000.0,40.863494,5.888227,-40.86,-5.87,138.0,BLAINE 1 -- BLAINE 1,BLAINE 1,BLAINE 1,40.863494,0.40863494000000006
"LINESTRING (-122.7719 48.9, -122.7719 48.9)",10000.0,-40.863494,-5.888227,40.866694,5.903764,138.0,BLAINE 1 -- BLAINE 1,BLAINE 1,BLAINE 1,40.863494,0.40863494000000006
"LINESTRING (-122.7719 48.9, -122.67 48.8946)",216.7,-22.338532,7.418568,22.35202,-8.461819,138.0,BLAINE 1 -- FERNDALE 1,FERNDALE 1,BLAINE 1,22.338532,10.308505768343332
"LINESTRING (-122.7719 48.9, -122.4788 48.7025)",176.23,-18.528162,-13.322333,18.571476,8.730374,138.0,BLAINE 1 -- BELLINGHAM 6,BELLINGHAM 6,BLAINE 1,18.528162,10.513625375929184
"LINESTRING (-122.6824 47.9481, -122.6841 47.7984)",206.89,-44.060223,5.68205,44.192583,-7.238754,138.0,PORT LUDLOW -- POULSBO 1,POULSBO 1,PORT LUDLOW,44.060223,21.296448837546524
"LINESTRING (-122.6824 47.9481, -122.5068 48.012)",214.83,-11.731279,-26.129145,11.762595,23.272066,138.0,PORT LUDLOW -- LANGLEY,LANGLEY,PORT LUDLOW,11.731279,5.460726621049202
